dataset,shape,count,min,p01,p05,p10,p25,median,p75,p90,p95,p99,max,mean,std,pct_lt_0_05,pct_lt_0_1,pct_gt_0_9,pct_gt_0_95,unique_rows,rows,cols
Eedi,935 x 57,53295,4e-06,0.00064694,0.0041407,0.011108,0.0476135,0.167733,0.3756505,0.5865488,0.6972564999999997,0.84950932,0.988706,0.23772069282296648,0.22432718337513285,0.25657191106107513,0.37485692841729995,0.0033774275260343373,0.0006754855052068674,935,935,57
algebra2005,574 x 112,64288,1.3e-05,0.00013287000000000002,0.00041335000000000037,0.00073,0.00183,0.006748,0.056253250000000005,0.9537468,0.99068365,0.9982585199999999,0.999961,0.1589584598992036,0.32694738382392685,0.7415536336485814,0.7893074912891986,0.11605587356893977,0.1015897212543554,574,574,112
assist2009-sub,938 x 50,46900,5e-06,0.000126,0.0005889500000000003,0.0012059000000000006,0.004553,0.0213105,0.092326,0.3016747999999999,0.5450506999999993,0.96195609,0.995306,0.09995209869936035,0.18949519180162133,0.6459275053304904,0.7631556503198295,0.01692963752665245,0.01183368869936034,937,938,50
statics2011,331 x 97,32107,4.6e-05,0.000368,0.0010416000000000004,0.0019316000000000003,0.0049155,0.014612,0.059620000000000006,0.25397020000000003,0.4747634999999992,0.8694549399999999,0.987476,0.08120359887252,0.1681475504401667,0.7268196966393621,0.820101535490703,0.0070701093219547135,0.0023359392032890024,329,331,97
XES3G5M-sub-small,968 x 385,372680,4e-06,6.4e-05,0.000158,0.000271,0.000839,0.002795,0.009905,0.033425,0.08659019999999995,0.6566378200000009,0.995434,0.02591805349361382,0.10163692134348642,0.9286009445100354,0.9544086079210046,0.003050874745089621,0.0018326714607706342,968,968,385
